default,duration,emp.var.rate,cons.price.idx,euribor3m,y
0.5,0.03268384663733501,1.0,0.6691348402182413,0.9814101110859217,0
0.5,0.010685103708359523,1.0,0.6691348402182413,0.9825436408977557,0
0.5,0.22470144563167818,1.0,0.6691348402182413,0.9811834051235548,1
0.5,0.12350722815839095,0.33333333333333337,0.26968043647701023,0.14169122647925642,0
0.5,0.03708359522313011,0.6875,0.3893219017926768,0.7678530945363864,0
0.5,0.04525455688246386,1.0,0.8823070927513683,0.9805032872364543,0
0.5,0.07605279698302954,0.33333333333333337,0.26968043647701023,0.15393334844706413,0
0.5,0.03802639849151477,0.33333333333333337,0.6527669524551882,0.013829063704375422,0
0.5,0.09239472030169704,0.6875,0.3893219017926768,0.7803219224665607,1
0.5,0.036455059710873663,1.0,0.6691348402182413,0.9814101110859217,0
0.5,0.02765556253928347,1.0,0.6691348402182413,0.9802765812740877,0
0.5,0.10245128849780012,0.33333333333333337,0.3406079501169188,0.18385853547948316,1
0.0,0.12193588937774985,0.9375,0.6987529228371017,0.9576059850374066,0
0.0,0.12099308610936518,1.0,0.6691348402182413,0.9811834051235548,0
0.0,0.10810810810810811,0.9375,0.6987529228371017,0.9573792790750397,0
0.5,0.06096794468887492,1.0,0.4844115354637566,0.9818635230106552,0
0.5,0.09082338152105594,0.0,0.0693686671862821,0.031512128768986625,1
0.5,0.11942174732872407,0.9375,0.6987529228371017,0.9589662208116074,0
0.5,0.02765556253928347,1.0,0.4844115354637566,0.9818635230106552,0
0.5,0.01571338780641106,1.0,0.6691348402182413,0.9802765812740877,0
0.5,0.019170333123821496,0.33333333333333337,0.3406079501169188,0.17479029698481074,0
0.5,0.04085480829666876,0.6875,0.3893219017926768,0.8063931081387441,0
0.5,0.0147705845380264,1.0,0.8823070927513683,0.9811834051235548,0
0.5,0.38214959145191707,1.0,0.4844115354637566,0.9816368170482885,0
0.5,0.041483343808925204,0.9375,0.6987529228371017,0.9578326909997734,0
0.5,0.034569453174104335,0.6875,0.3893219017926768,0.7977782815688053,0
0.0,0.16813324952859837,0.9375,0.6987529228371017,0.9573792790750397,0
0.0,0.036455059710873663,1.0,0.6691348402182413,0.9800498753117208,0
0.5,0.043683218101822754,0.6875,0.3893219017926768,0.7678530945363864,0
0.5,0.07196731615336266,0.10416666666666674,0.0,0.0532759011562004,0
0.5,0.0606536769327467,1.0,0.6691348402182413,0.9825436408977557,0
0.5,0.18101822752985544,0.33333333333333337,0.26968043647701023,0.15075946497392884,0
0.5,0.13639220615964803,0.9375,0.6987529228371017,0.9589662208116074,0
0.5,0.09239472030169704,1.0,0.6691348402182413,0.9811834051235548,0
0.5,0.023884349465744813,0.10416666666666674,0.2969602494154344,0.1419179324416232,0
0.5,0.03519798868636078,1.0,0.8823070927513683,0.9823169349353889,0
0.5,0.03519798868636078,0.33333333333333337,0.6527669524551882,0.007708002720471563,0
0.5,0.04996857322438718,0.9375,0.6987529228371017,0.9573792790750397,0
0.5,0.0961659333752357,1.0,0.8823070927513683,0.9802765812740877,0
0.5,0.017284726587052168,1.0,0.6691348402182413,0.9825436408977557,0
0.5,0.06253928346951602,1.0,0.4844115354637566,0.9816368170482885,0
